epoch,train_loss,test_loss,train_acc,test_acc
0.0,1.6259303013889157,1.3264862567186355,0.41374,0.5142
1.0,1.1961165736524426,1.0934998884797096,0.5683,0.6024
2.0,0.9868952114971317,0.914355406165123,0.64682,0.6735
3.0,0.8445683967094032,0.8397056967020035,0.70164,0.7048
4.0,0.74548867101572,0.751198785007,0.7377,0.7434
5.0,0.6796869323874006,0.6880070745944977,0.76028,0.7668
6.0,0.6240866126454606,0.6373536080121994,0.78032,0.7822
7.0,0.5782479108596335,0.6177282340824604,0.79874,0.7889
8.0,0.5403056059564862,0.605552988499403,0.812,0.7961
9.0,0.5070210026234997,0.5603395521640777,0.82462,0.8092
10.0,0.48076125720933993,0.5453569009900093,0.83334,0.8154
11.0,0.4519007795927476,0.5258406788110733,0.84348,0.822
12.0,0.43033264364515034,0.49260675981640817,0.8524,0.8329
13.0,0.41079442233455427,0.49035259410738946,0.85762,0.8318
14.0,0.3908769439677803,0.4920871816575527,0.86226,0.8302
15.0,0.3772744100008692,0.4888307824730873,0.86794,0.8402
16.0,0.36085901234527024,0.4782335482537746,0.87324,0.8402
17.0,0.34734579791523973,0.491627599298954,0.87868,0.8355
18.0,0.3351149921666603,0.473736422508955,0.88272,0.843
19.0,0.3210293313830483,0.48211569488048556,0.88638,0.8414
20.0,0.30792888687277326,0.46537850722670554,0.89416,0.8452
21.0,0.29853310382791926,0.4500025175511837,0.89472,0.8485
22.0,0.29010498561725323,0.441068497300148,0.89912,0.8563
23.0,0.2779528680352532,0.4539514519274235,0.90332,0.8507
24.0,0.2748780667173619,0.4589232735335827,0.9029,0.8499
25.0,0.255790296789943,0.4358965165913105,0.91024,0.855
26.0,0.2527394340354569,0.4487905248999596,0.91094,0.8563
27.0,0.24361403750217692,0.45094539523124694,0.91334,0.8518
28.0,0.2288044326919682,0.4384639263153076,0.919,0.8615
29.0,0.2305451642189707,0.44452090859413146,0.91918,0.8588
30.0,0.21651334148280474,0.455232660472393,0.92426,0.8579
31.0,0.21609411289801403,0.44406544864177705,0.92314,0.8594
32.0,0.20426136046191867,0.4256276722997427,0.92798,0.8657
33.0,0.20292385184795272,0.43396967798471453,0.92784,0.8646
34.0,0.19576954925242734,0.453322946280241,0.93112,0.8612
35.0,0.19273847299722993,0.44540868401527406,0.93148,0.8638
36.0,0.18690444361798617,0.43337889239192007,0.933,0.8679
37.0,0.17756193408704535,0.44225651770830154,0.93868,0.8653
38.0,0.1751163560440954,0.41835030280053614,0.93786,0.8766
39.0,0.16849331477923052,0.42282176166772845,0.94088,0.8731
40.0,0.16282497593486794,0.4556388475000858,0.94178,0.8651
41.0,0.16096264066896876,0.44696523025631907,0.94284,0.8691
42.0,0.15838176160290532,0.4509516768157482,0.94384,0.8699
43.0,0.1573583412611363,0.430699760466814,0.94442,0.8757
44.0,0.14209249589060033,0.42714627981185915,0.94986,0.8744
45.0,0.14104238597258012,0.46523575074970724,0.95044,0.8684
46.0,0.14305127611649887,0.45515533834695815,0.94894,0.8728
47.0,0.13618174792096324,0.4299591265618801,0.95216,0.8748
48.0,0.1388285144669365,0.4694104798138142,0.94996,0.8679
49.0,0.130381241440773,0.44654673263430594,0.95254,0.872
50.0,0.12601682532350628,0.44838052839040754,0.95538,0.875
51.0,0.13116672422204698,0.46749561950564383,0.95324,0.8789
52.0,0.12191418010969551,0.46688363440334796,0.95598,0.8736
53.0,0.11841480481457345,0.45508390441536906,0.95726,0.8764
54.0,0.11972276697277415,0.45503284111618997,0.95728,0.874
55.0,0.1096236412698517,0.4500005431473255,0.9613,0.8796
56.0,0.10825319316390218,0.46478082835674284,0.96078,0.8743
57.0,0.11046868942830028,0.4882159225642681,0.96048,0.8742
58.0,0.10537267312863652,0.46333758160471916,0.9627,0.8768
59.0,0.10814716091037405,0.48841927349567416,0.96124,0.8746
60.0,0.1000267693544833,0.4560496650636196,0.96392,0.8766
61.0,0.10668048277801397,0.4468515567481518,0.96246,0.8806
62.0,0.09873991075675098,0.4586081862449646,0.96408,0.882
63.0,0.096264593968434,0.4481075398623943,0.96568,0.8768
64.0,0.09296696166488894,0.47324841991066935,0.96688,0.8774
65.0,0.09501009386945136,0.4739499293267727,0.96592,0.8758
66.0,0.09480342572098788,0.4522024590522051,0.96614,0.8807
67.0,0.08550242872490567,0.4647915132343769,0.96908,0.8817
68.0,0.09230373284722469,0.5007012598216534,0.96706,0.8772
69.0,0.08688667517307462,0.4747641071677208,0.96958,0.881
70.0,0.09045916463115386,0.4630319572985172,0.96752,0.8823
71.0,0.08043561703810582,0.4888739064335823,0.97252,0.8801
72.0,0.08499063908749697,0.48541970923542976,0.96988,0.8812
73.0,0.08997692933724243,0.47044612243771555,0.96814,0.8803
74.0,0.07790601580422751,0.47589929699897765,0.97198,0.8802
75.0,0.0787712116440644,0.4902938768267632,0.97184,0.8798
76.0,0.07922372875773177,0.4705731272697449,0.9723,0.8838
77.0,0.07824868049320517,0.48291088342666627,0.97236,0.8794
78.0,0.07772289291594406,0.4733483336865902,0.9727,0.8868
79.0,0.07391943309304057,0.4904554694890976,0.9738,0.8846
80.0,0.07117294568606482,0.48126382380723953,0.97432,0.8859
81.0,0.07403296108205555,0.47965074330568314,0.9738,0.8809
82.0,0.07558552497921854,0.49343313947319983,0.97284,0.8798
83.0,0.07290312143194737,0.48470078855752946,0.97468,0.884
84.0,0.0709911584854126,0.48993751481175424,0.97476,0.884
85.0,0.0720813584570982,0.4893179826438427,0.97444,0.8801
86.0,0.06778336711684052,0.5002772863954306,0.97592,0.8788
87.0,0.06688418932145043,0.49499001130461695,0.97598,0.8811
88.0,0.06776136733895662,0.5039647489786148,0.97638,0.8835
89.0,0.0688460620063148,0.49275373816490176,0.9754,0.8792
90.0,0.06532007576517608,0.49219779670238495,0.97726,0.8873
91.0,0.06192703199173723,0.510216050595045,0.97782,0.877
92.0,0.0688572733910108,0.5127533324062824,0.97532,0.8839
93.0,0.06273437852077947,0.5063280493021012,0.97752,0.8817
94.0,0.06471639353667899,0.4909580759704113,0.97772,0.8837
95.0,0.06888252975685256,0.5006260581314563,0.97542,0.8861
96.0,0.06282892534319236,0.5368604153394699,0.97748,0.8798
97.0,0.05923066714455431,0.508443795889616,0.97902,0.884
98.0,0.059654509097489775,0.5243634469807148,0.97872,0.8853
99.0,0.062367303629538844,0.48360554277896883,0.97818,0.8798
