epoch,train_loss,test_loss,train_acc,test_acc
0.0,1.800010574715478,1.601830592751503,0.33484,0.4077
1.0,1.5168804945994396,1.4585180461406708,0.44952,0.4724
2.0,1.4223084182155377,1.3978601157665254,0.4917,0.4922
3.0,1.3415749954934022,1.3073009103536606,0.51876,0.5299
4.0,1.282267964007903,1.2769581139087678,0.5463,0.5413
5.0,1.2177804866615607,1.2061860889196396,0.5704,0.5656
6.0,1.1737380584283752,1.1440559163689614,0.58778,0.5927
7.0,1.1510801184542325,1.123322845995426,0.5969,0.5975
8.0,1.1124199364258318,1.0811714455485344,0.60978,0.6177
9.0,1.0767804670090577,1.0739532321691514,0.6255,0.6255
10.0,1.0648565380548944,1.072605161368847,0.62938,0.6271
11.0,1.0367679824026264,1.0527389094233512,0.63804,0.6304
12.0,1.0097902614851386,0.9949230626225471,0.64874,0.6528
13.0,0.9930229679662355,0.9853838503360748,0.65638,0.655
14.0,0.9740269594654745,1.0030888438224792,0.66088,0.6455
15.0,0.9534458624465125,0.9747984319925308,0.6686,0.66
16.0,0.9368187052254774,0.999007360637188,0.67444,0.6477
17.0,0.9275043579388638,0.9205946460366249,0.67854,0.6769
18.0,0.9111425046409879,0.93358124345541,0.68438,0.6738
19.0,0.8959484632526126,0.8985096737742424,0.68976,0.6871
20.0,0.8834865065861721,0.9504130735993386,0.69316,0.6699
21.0,0.8664496711322239,0.9241753548383713,0.70212,0.6737
22.0,0.8624809299196515,0.8739596009254456,0.7024,0.6966
23.0,0.8427308353842521,0.9001249372959137,0.70882,0.6861
24.0,0.833106669540308,0.8507090657949448,0.71382,0.7042
25.0,0.822917718364268,0.8581699416041374,0.71686,0.7046
26.0,0.8216106097917167,0.8580457106232643,0.71666,0.7063
27.0,0.8137817282457741,0.8080939397215843,0.7183,0.7205
28.0,0.802359618398608,0.8189706012606621,0.72474,0.7174
29.0,0.788614311692666,0.8113997131586075,0.72654,0.7182
30.0,0.7776998083810417,0.817803980410099,0.72876,0.7168
31.0,0.779104433497604,0.8177860841155052,0.72976,0.7174
32.0,0.7651860969407218,0.8064144626259804,0.73606,0.7219
33.0,0.7544181219169072,0.8040079548954964,0.7373,0.7181
34.0,0.7459103316068649,0.7980091959238053,0.74204,0.7205
35.0,0.7459002614629512,0.7821075841784477,0.74232,0.732
36.0,0.7436538317373821,0.7754357054829597,0.74418,0.7299
37.0,0.730008639851395,0.7708266869187355,0.74702,0.7335
38.0,0.7246204018592834,0.7871101289987564,0.7482,0.731
39.0,0.71790945773222,0.7760788470506668,0.75112,0.7283
40.0,0.7197889600481305,0.7662137553095818,0.75134,0.7384
41.0,0.7081483845808068,0.8472305864095688,0.75548,0.7081
42.0,0.7082797340592559,0.7665633663535119,0.75758,0.7351
43.0,0.6975506720494251,0.7706045299768448,0.75698,0.7376
44.0,0.6971338059829206,0.7434242874383926,0.76008,0.7408
