epoch,train_loss,test_loss,train_acc,test_acc
0.0,1.9662464869265655,1.7800111174583435,0.28368,0.3504
1.0,1.6889795369031477,1.6600802689790726,0.38712,0.3932
2.0,1.6012577937573802,1.543855819106102,0.41852,0.4333
3.0,1.5411725591640084,1.5174703031778336,0.4397,0.4405
4.0,1.4877736586697248,1.4429468244314194,0.46446,0.4854
5.0,1.4401529078580895,1.4135304987430573,0.47904,0.4937
6.0,1.3945812443081214,1.4028702288866044,0.49552,0.497
7.0,1.364366768574228,1.3154569625854493,0.51,0.5272
8.0,1.3208540209702082,1.2946067601442337,0.52752,0.5365
9.0,1.289215082416729,1.2898513555526734,0.5376,0.5354
10.0,1.2589212668185332,1.232242125272751,0.5498,0.5624
11.0,1.2375973207609994,1.2384330332279205,0.56224,0.5548
12.0,1.2085412856267423,1.1979618430137635,0.56988,0.5702
13.0,1.1944189752851213,1.187406486272812,0.5753,0.5818
14.0,1.175254408802305,1.1545177176594734,0.5845,0.593
15.0,1.1466888806649618,1.1593283861875534,0.59086,0.5875
16.0,1.1483497680449972,1.2537036091089249,0.59294,0.5572
17.0,1.126425297284613,1.1072039246559142,0.6014,0.615
18.0,1.107933494509483,1.130700659751892,0.6091,0.6013
19.0,1.1072860262831863,1.1014720499515533,0.60798,0.6158
20.0,1.085802859189559,1.1006725773215293,0.61502,0.6116
21.0,1.0754352227157475,1.11284159719944,0.62216,0.606
22.0,1.0626471161234134,1.0579250499606132,0.62486,0.6264
23.0,1.0514992715752856,1.0588594868779182,0.6285,0.6224
24.0,1.0435124258605801,1.0503544151782989,0.63132,0.6296
25.0,1.0396931600205752,1.0393806487321853,0.631,0.635
26.0,1.0347882238577824,1.0796757727861404,0.63724,0.6182
27.0,1.0236899232377812,1.0406289100646973,0.63794,0.6333
28.0,1.0123678725592944,1.0370058819651604,0.6452,0.6377
29.0,1.0048270429275474,1.0171994432806968,0.64582,0.6477
30.0,0.9946403479089543,1.0097693994641304,0.64982,0.6464
31.0,0.9922594233435027,0.9975417822599411,0.65072,0.6487
32.0,0.9741838714297937,0.9877463340759277,0.65868,0.6549
33.0,0.9651591796047834,1.0134906768798828,0.66186,0.6491
34.0,0.9706022283252405,0.9943628028035164,0.66122,0.646
35.0,0.9606470328812696,0.9736555173993111,0.66322,0.6601
36.0,0.9524639449557479,0.960160131752491,0.66646,0.6623
37.0,0.9473546113894911,0.9973198428750039,0.6698,0.6485
38.0,0.9441685223457764,0.9882961884140968,0.66462,0.6556
39.0,0.9353818589327286,0.9522839173674583,0.672,0.6721
40.0,0.933303926368149,0.9923538848757744,0.66998,0.648
41.0,0.9278568698435413,0.9616634100675583,0.67316,0.6596
42.0,0.9160652039002399,0.9562899529933929,0.6782,0.6655
43.0,0.9130549509914554,0.9560467079281807,0.67842,0.6655
44.0,0.9140306294572597,0.9489298984408379,0.68098,0.6668
45.0,0.904139330192488,0.993219955265522,0.68406,0.6511
46.0,0.9063604653489833,0.9371405348181725,0.6817,0.6631
47.0,0.9021544407825081,0.972576405107975,0.68436,0.6597
48.0,0.8952336183616093,0.903256319463253,0.68654,0.6826
49.0,0.8968684855772524,0.9191882997751236,0.6875,0.6806
50.0,0.8813967315518126,0.9067344099283219,0.69142,0.6795
51.0,0.8800613165509944,0.9082323789596558,0.69174,0.6777
52.0,0.8799642382227645,0.9227109342813492,0.69316,0.675
53.0,0.8766160631666378,0.8905710682272912,0.6931,0.6895
54.0,0.8717790592689904,0.9125810384750366,0.69736,0.6849
55.0,0.865494074870129,0.8982185110449791,0.6958,0.6898
56.0,0.8612782334794804,0.885084468126297,0.69812,0.6871
57.0,0.8574405233470761,0.8858151689171792,0.70122,0.689
58.0,0.8515888753594184,0.889785960316658,0.70148,0.6958
59.0,0.8459347112446415,0.8880865260958671,0.70528,0.6915
60.0,0.8443703614935583,0.8784546658396721,0.7046,0.6948
61.0,0.8475397846528462,0.9196559190750122,0.7049,0.6821
62.0,0.840718999505043,0.8567971035838127,0.7099,0.6989
63.0,0.829352463690602,0.8966505020856858,0.71096,0.6951
64.0,0.8303786181673711,0.8789787665009499,0.71152,0.6924
65.0,0.827830858072456,0.8658535048365593,0.71114,0.6933
66.0,0.819962315261364,0.8482804849743844,0.71396,0.7059
67.0,0.8118587525523439,0.8951677411794663,0.7172,0.6914
68.0,0.827074196873879,0.8459921419620514,0.71018,0.7032
69.0,0.809943182736027,0.872497196495533,0.71526,0.6911
70.0,0.813806456874828,0.9212664112448692,0.71622,0.6835
71.0,0.8122525035726781,0.8475997254252434,0.71618,0.7052
72.0,0.8087907269292948,0.8475455969572068,0.71966,0.7077
73.0,0.7978816704482449,0.8761381462216378,0.72066,0.6983
74.0,0.8023005073167839,0.8439830765128136,0.71864,0.7075
75.0,0.7958831528619844,0.8318008154630661,0.72266,0.7104
76.0,0.7968983409964309,0.8534683763980866,0.72386,0.7106
77.0,0.7991908965062122,0.8340285450220108,0.72092,0.7149
78.0,0.7905213939292091,0.8370084568858147,0.7253,0.7102
79.0,0.789817599617705,0.8472045347094536,0.72406,0.7072
80.0,0.7907924040847895,0.8404589161276818,0.72452,0.711
81.0,0.7866873029543429,0.8602020621299744,0.7267,0.7066
82.0,0.7831363425571092,0.8223744347691536,0.72718,0.7152
83.0,0.7749356180429459,0.8751518413424492,0.73064,0.6924
84.0,0.7873233207026307,0.823618334531784,0.72742,0.7157
85.0,0.7768778484694812,0.8204989716410637,0.72916,0.7181
86.0,0.7722078549618624,0.9028136879205704,0.73288,0.686
87.0,0.7698521078849325,0.8506856888532639,0.73476,0.7098
88.0,0.7723547715921791,0.8237969651818275,0.73102,0.7161
89.0,0.773333666580064,0.8764907523989678,0.73034,0.7018
90.0,0.7704054558155488,0.8063795983791351,0.73062,0.722
91.0,0.7637467244449927,0.817564494907856,0.73466,0.7218
92.0,0.7692363621020804,0.8105117782950402,0.7323,0.7205
93.0,0.7620586010874534,0.8094561472535133,0.73486,0.7205
94.0,0.7643934457885976,0.8209235787391662,0.73494,0.7098
95.0,0.7626600536156674,0.8341072291135788,0.73572,0.7163
96.0,0.756065692828626,0.8141959130764007,0.73776,0.717
97.0,0.7536684277714515,0.8709395676851273,0.73922,0.6985
98.0,0.7557438721462172,0.8487334668636322,0.73874,0.71
99.0,0.7532064099701083,0.8110983729362488,0.73906,0.7173
