epoch,train_loss,test_loss,train_acc,test_acc
0.0,2.060362739830601,1.8621696263551712,0.23412,0.3043
1.0,1.7375158764878098,1.6600938528776168,0.35896,0.3821
2.0,1.6245080092731787,1.5889596670866013,0.4055,0.4235
3.0,1.5533353759317983,1.5266723215579987,0.43556,0.4416
4.0,1.5137950461737963,1.4771043598651885,0.4521,0.4655
5.0,1.4651063254901342,1.4472811073064804,0.4716,0.4768
6.0,1.4355860370762494,1.416683354973793,0.48386,0.4939
7.0,1.3995993076538553,1.3800488382577896,0.4981,0.5047
8.0,1.3753548824057287,1.3490527153015137,0.50734,0.5057
9.0,1.34487634836411,1.3288928270339966,0.51952,0.5204
10.0,1.3141884615226669,1.300978821516037,0.52986,0.5324
11.0,1.2859508407359221,1.2815726697444916,0.54194,0.5464
12.0,1.2669777462677079,1.2416303128004074,0.54902,0.5555
13.0,1.2402092406944352,1.2365613520145415,0.55838,0.5605
14.0,1.2219351822016191,1.2368721395730973,0.56974,0.5572
15.0,1.2079943120479584,1.2119899854063987,0.57178,0.5699
16.0,1.1870514513278494,1.1852001577615738,0.58156,0.5778
17.0,1.1672643532558364,1.2099503308534623,0.58972,0.5765
18.0,1.1601181164079784,1.1680291041731834,0.59238,0.5802
19.0,1.1499109307722168,1.1632676646113396,0.5955,0.5867
20.0,1.1306935986694024,1.1406713888049125,0.60076,0.5956
21.0,1.124142166607234,1.1406446367502212,0.6043,0.5954
22.0,1.116143703156588,1.1211894899606705,0.6073,0.6026
23.0,1.0968170579598875,1.1060042709112168,0.61454,0.6089
24.0,1.0908732383835071,1.1073263615369797,0.61374,0.6066
25.0,1.0785943236278028,1.1217473581433297,0.62084,0.6063
26.0,1.0697705538905398,1.093634556233883,0.62498,0.616
27.0,1.0565346278706376,1.096090453863144,0.628,0.6122
28.0,1.0563162720325041,1.089049655199051,0.62978,0.622
29.0,1.0493000423421666,1.0666762739419937,0.63278,0.632
30.0,1.0302216285953716,1.0623721435666085,0.6373,0.6248
31.0,1.0361647523787556,1.057345663011074,0.63564,0.6307
32.0,1.0254017248445628,1.0361725300550462,0.63874,0.6383
33.0,1.0112929599625724,1.0243247210979463,0.64524,0.6404
34.0,1.0084679981275482,1.0227955520153045,0.64502,0.6457
35.0,1.002990647238128,1.031378062069416,0.64906,0.6429
36.0,0.9906343200377056,1.0134194016456604,0.65476,0.6444
37.0,0.9805066780168183,1.0146243140101432,0.65538,0.6477
38.0,0.9772942175670546,1.053502407670021,0.65842,0.6339
39.0,0.978244024575973,0.99011809527874,0.65626,0.6533
40.0,0.9651939047842609,0.996908763051033,0.66336,0.6505
41.0,0.9624548411490966,0.9887929484248161,0.66394,0.6534
42.0,0.9540419383924834,0.9864424765110016,0.66792,0.6562
