epoch,train_loss,test_loss,train_acc,test_acc
0.0,2.085146981234453,1.9054912894964218,0.21446,0.2716
1.0,1.8016942751650908,1.7007699310779572,0.32638,0.368
2.0,1.681793976803215,1.6281318098306656,0.37556,0.4014
3.0,1.6079701233883292,1.5776903092861176,0.40832,0.4167
4.0,1.5544237804656127,1.535884016752243,0.4304,0.4355
5.0,1.5118695448855966,1.4668806076049805,0.44818,0.4676
6.0,1.4653146966379516,1.4447853595018387,0.4698,0.4752
7.0,1.4322838217628246,1.4064330577850341,0.48224,0.4823
8.0,1.3991736526391945,1.3705977290868758,0.49576,0.5012
9.0,1.3775359659778827,1.3848196744918824,0.5019,0.4919
10.0,1.350994737780824,1.3819826021790504,0.51574,0.4997
11.0,1.3338911642833633,1.333234229683876,0.52128,0.517
12.0,1.3165964946454884,1.3039676278829575,0.52716,0.532
13.0,1.298427824463163,1.2688479125499725,0.53244,0.5434
14.0,1.2850014165956147,1.2635812699794768,0.5406,0.5453
15.0,1.2594159263737348,1.2484552383422851,0.54948,0.5472
16.0,1.2485471300932827,1.2320131421089173,0.55302,0.5549
17.0,1.2268597951957159,1.2511336237192154,0.5613,0.5517
18.0,1.214198754758251,1.2388006687164306,0.56524,0.5511
19.0,1.1928665029759309,1.2662421017885208,0.57578,0.5522
20.0,1.1873984628794145,1.189131361246109,0.5791,0.5763
21.0,1.166744840996606,1.1763638764619828,0.58346,0.583
22.0,1.1533371289165653,1.1684054017066956,0.5906,0.5815
23.0,1.1449577181923145,1.143069064617157,0.5924,0.5926
24.0,1.1437452584505081,1.1399247229099274,0.594,0.5992
25.0,1.1274658134397195,1.1228373408317567,0.59852,0.6018
26.0,1.117645964026451,1.1156863063573836,0.60446,0.6092
27.0,1.1040958439817234,1.1254374906420708,0.60812,0.6043
28.0,1.1007549537687886,1.0985693961381913,0.60596,0.6102
29.0,1.0894148507896735,1.1019604951143265,0.61294,0.6113
30.0,1.0926903191269661,1.1077118650078774,0.61264,0.6009
31.0,1.0793353519877609,1.1318284824490548,0.61692,0.5995
32.0,1.0701595161642348,1.0819155365228652,0.62082,0.6127
33.0,1.066989226304755,1.0764552414417268,0.62362,0.6178
34.0,1.0595425087578443,1.1121848225593567,0.62558,0.6061
35.0,1.0461211612029953,1.0677090004086494,0.63232,0.6213
36.0,1.0467060995953423,1.1119698196649552,0.63044,0.6099
37.0,1.0376462461997051,1.0523773476481437,0.63374,0.6247
38.0,1.040663250855037,1.0727755039930345,0.63148,0.6183
39.0,1.0246160596000904,1.06289184987545,0.6389,0.6207
40.0,1.0235842651858622,1.0432672843337059,0.63752,0.6266
41.0,1.0280591565735486,1.0345849826931954,0.63816,0.6359
42.0,1.015138831369731,1.056227719783783,0.63868,0.6337
43.0,1.0161396116018295,1.0576430037617683,0.6423,0.6327
44.0,1.0013811691683165,1.0364826694130898,0.64542,0.6371
45.0,0.9995537898978408,1.0493926748633384,0.6492,0.627
46.0,0.9902883749835345,1.0126287415623665,0.64952,0.6467
47.0,0.9893630910284665,1.0232950836420058,0.6495,0.6344
48.0,0.9870170516018965,1.0223434254527093,0.65306,0.6424
49.0,0.9857762966837201,1.0236588731408118,0.65286,0.6423
50.0,0.980636537379148,1.0583942338824273,0.65686,0.6234
51.0,0.9703283699191346,0.9918741151690483,0.65724,0.6492
52.0,0.972883689464355,1.008269490301609,0.65888,0.6485
53.0,0.9623243334342022,1.0165886387228966,0.6611,0.6411
54.0,0.963183869816819,0.9761132895946503,0.6605,0.6553
55.0,0.9599369603152178,0.9967265725135803,0.66188,0.6463
56.0,0.959323313771462,1.0000016823410989,0.663,0.6521
57.0,0.9587146192789078,1.0098476499319076,0.6633,0.6507
58.0,0.9541162316288266,0.9642935767769814,0.66524,0.6644
59.0,0.938612560532531,0.9538537442684174,0.67108,0.6645
60.0,0.943219744125191,0.9966135323047638,0.66826,0.6509
61.0,0.9347458344941236,0.9729897573590278,0.67258,0.6602
62.0,0.9359140237983392,0.9928471773862839,0.67178,0.6617
63.0,0.9336907164174684,0.955332237482071,0.66988,0.6643
64.0,0.932537741502937,0.9637431502342224,0.67176,0.66
65.0,0.9211376327641156,0.9549764856696129,0.67624,0.664
66.0,0.9254096150398254,0.9652050882577896,0.67804,0.6708
67.0,0.91631417554252,0.926065269112587,0.67838,0.6764
68.0,0.9182345167714723,0.9799229145050049,0.67874,0.66
69.0,0.9199318335372575,0.9456008076667786,0.67544,0.6705
70.0,0.910141123192651,0.9616773888468743,0.68144,0.6695
71.0,0.9060534302677427,0.9314513429999352,0.68034,0.6736
72.0,0.9063983048711505,0.9251133993268013,0.68262,0.6802
73.0,0.9048732549560313,0.9420296639204025,0.68242,0.6699
74.0,0.8958566830474504,0.9680982649326324,0.68714,0.6624
75.0,0.9048037209681102,0.9569215133786202,0.68384,0.6729
