epoch,train_loss,test_loss,train_acc,test_acc
0.0,2.076984627514469,1.9213318049907684,0.22226,0.2906
1.0,1.7986831306194773,1.7162855386734008,0.33794,0.3553
2.0,1.665385935987745,1.6034126788377763,0.38646,0.4166
3.0,1.5824430493675932,1.5465561509132386,0.41894,0.4384
4.0,1.5241092899624182,1.487832972407341,0.44302,0.4523
5.0,1.4811168836087596,1.4764967739582062,0.46248,0.4658
6.0,1.449917489776806,1.4174812227487563,0.47538,0.4891
7.0,1.4110838053177814,1.4086545944213866,0.49218,0.4891
8.0,1.3817968058342835,1.3584656953811645,0.50526,0.5075
9.0,1.3489399692233728,1.3186963379383088,0.51814,0.5277
10.0,1.3128088043660533,1.2986626267433166,0.53162,0.5322
11.0,1.289486585222945,1.2757313191890716,0.54032,0.536
12.0,1.2647262489309117,1.2536711633205413,0.5505,0.5467
13.0,1.2424194721543058,1.2245146811008454,0.55962,0.5604
14.0,1.2179076750667728,1.2216199964284897,0.5698,0.5616
15.0,1.2023752836548551,1.18647503554821,0.5746,0.571
16.0,1.1876181947941682,1.1986301004886628,0.58024,0.5744
17.0,1.1806303098493693,1.1886993587017058,0.5812,0.5827
18.0,1.1538521683945948,1.174192228913307,0.5918,0.5812
19.0,1.1436592966926342,1.1585036754608153,0.59774,0.5892
20.0,1.1278362569152092,1.1399065524339675,0.6021,0.5979
21.0,1.1204694156744042,1.1072578743100165,0.60558,0.6055
22.0,1.107355731786514,1.1517999768257141,0.60896,0.592
23.0,1.0945185030601463,1.124732504785061,0.6141,0.6013
24.0,1.0837100643892676,1.1006549999117852,0.61988,0.6147
25.0,1.0724259952501374,1.1184111326932906,0.62218,0.6067
26.0,1.0667834081211869,1.081987838447094,0.62434,0.6131
27.0,1.0603327994443932,1.0687026292085648,0.62722,0.6213
28.0,1.0570927517754691,1.0950225606560706,0.62758,0.6127
29.0,1.0457138130251242,1.0521618917584419,0.63244,0.6279
30.0,1.033971641744886,1.035263442993164,0.63754,0.6291
31.0,1.0295532896202437,1.0531224101781844,0.6369,0.6267
32.0,1.0188747322072789,1.0682388186454772,0.64314,0.6257
33.0,1.0135349007893582,1.024048039317131,0.6443,0.6353
34.0,1.008962482213974,1.0333950415253639,0.6469,0.6335
35.0,1.0046990276599417,1.015979853272438,0.64696,0.6339
