epoch,train_loss,test_loss,train_acc,test_acc
0.0,1.4845311334792604,0.8459643289446831,0.5010833333333333,0.7152
1.0,0.728493570266886,0.612384981662035,0.7638833333333334,0.8028
2.0,0.5362237831379505,0.42924944292753936,0.8246333333333333,0.8597
3.0,0.421602271465545,0.3850111713632941,0.86035,0.8673
4.0,0.3580693860003289,0.31148306708782914,0.8817833333333334,0.8962
5.0,0.3304429727665921,0.3000833634287119,0.8907666666666667,0.9043
6.0,0.30047995305441794,0.2660971574485302,0.9015333333333333,0.9124
7.0,0.2835904630574774,0.24992047464475037,0.9073666666666667,0.9155
8.0,0.2696202444269302,0.24370181653648615,0.9120833333333334,0.9222
9.0,0.26415188559826386,0.2598133613355458,0.9144333333333333,0.911
10.0,0.24940229026561087,0.22530230674892665,0.9197166666666666,0.9289
11.0,0.2438869757855192,0.21429664706811308,0.92035,0.9289
12.0,0.2345036062154364,0.21088339164853095,0.9232333333333334,0.9295
13.0,0.22400646729672208,0.20306191970594228,0.9278833333333333,0.9322
14.0,0.21935751675925355,0.18843004275113345,0.9308166666666666,0.9369
15.0,0.2152831328359056,0.20422799428924918,0.9300166666666667,0.928
16.0,0.20812895729186687,0.19066179152578117,0.9324,0.9372
17.0,0.2025497317314148,0.18626682525500654,0.9355666666666667,0.9368
18.0,0.20158151432554772,0.171930761449039,0.9361833333333334,0.9452
19.0,0.19232621028068217,0.1694979660678655,0.9382,0.9448
20.0,0.1877494253376697,0.17348660314455627,0.94005,0.9415
21.0,0.18479029482349435,0.1671868964098394,0.9423166666666667,0.9445
22.0,0.1843187632395866,0.17736852648667992,0.9418,0.9401
23.0,0.17791605972229166,0.1818349817302078,0.9434,0.9402
24.0,0.17700606622594467,0.16424381649121642,0.9455333333333333,0.9421
25.0,0.1738048071239857,0.17030534739606082,0.9450666666666667,0.9425
26.0,0.171047265574019,0.14579949113540353,0.9448333333333333,0.9499
27.0,0.16426645653679015,0.1560475959442556,0.9480166666666666,0.9492
28.0,0.1628807818635981,0.14631061260588468,0.9476666666666667,0.9539
29.0,0.16195906356294104,0.14691369677893817,0.9493833333333334,0.9523
30.0,0.16107739745936495,0.14408390633761883,0.9490833333333333,0.9536
31.0,0.15709437442586777,0.13485962934792042,0.9496833333333333,0.9543
32.0,0.15129531065517285,0.13793596979230643,0.9529333333333333,0.9559
33.0,0.15163697987160785,0.1411401945631951,0.9512833333333334,0.9496
34.0,0.1489489381459165,0.13147782005835323,0.9524333333333334,0.955
35.0,0.15119503682598154,0.1350299641955644,0.9517333333333333,0.9553
36.0,0.148411804738831,0.12603945434093475,0.9531666666666667,0.9598
37.0,0.1464063136818561,0.13077306251507254,0.9536666666666667,0.9558
38.0,0.14430755628867353,0.1379406166728586,0.9544333333333334,0.9549
39.0,0.1426968406489555,0.1250736987683922,0.9549833333333333,0.9575
40.0,0.14268168772154666,0.11843545021256432,0.9546166666666667,0.9606
41.0,0.13744194748553823,0.12918191507924348,0.9566166666666667,0.9583
42.0,0.13570526746359277,0.12230095423292368,0.9566666666666667,0.9614
43.0,0.13315099409603057,0.12331482720328495,0.9583,0.9595
44.0,0.13166826548094446,0.11429650450590997,0.9594,0.96
45.0,0.13242597334245418,0.1290254771243781,0.95795,0.9569
46.0,0.131470369943913,0.12292563079390675,0.9593333333333334,0.9577
47.0,0.13140866312574834,0.11515428473940119,0.9584833333333334,0.9626
48.0,0.12944154454038498,0.12378460761392489,0.9596,0.96
49.0,0.12640014450917852,0.11296930266544222,0.9595333333333333,0.9619
50.0,0.12412086400262853,0.1103340397006832,0.9610333333333333,0.9637
51.0,0.12357972722421301,0.11639332332415506,0.9614166666666667,0.9605
52.0,0.12449147395314054,0.12007519787875935,0.9606833333333333,0.9612
53.0,0.12225021948205664,0.12083507269853726,0.9605,0.9583
54.0,0.12233075548676735,0.11347648386145011,0.9611666666666666,0.964
55.0,0.12351364032068152,0.11102965991012752,0.9606833333333333,0.962
56.0,0.1185392476776813,0.10399170260643587,0.962,0.9665
57.0,0.11825547088333901,0.10883244508877396,0.963,0.9662
58.0,0.11538961001850188,0.10468737732153385,0.9638166666666667,0.9659
59.0,0.11472782110597225,0.11328320184256882,0.9641,0.9627
60.0,0.11331064219170428,0.10028848578804173,0.9650833333333333,0.967
61.0,0.11404741774214075,0.10582782423589379,0.9638333333333333,0.9648
62.0,0.11406942062238429,0.10438728110166266,0.9632333333333334,0.964
63.0,0.11328359727371247,0.1014090426499024,0.9640333333333333,0.9687
64.0,0.11014988726757942,0.10552699303952977,0.9643,0.9658
65.0,0.11208246115674364,0.10192999592982233,0.96445,0.9669
66.0,0.10958888804975976,0.10855931147234514,0.9655166666666667,0.9638
67.0,0.10712668935352183,0.09603338176384568,0.9660333333333333,0.9684
68.0,0.10967967177325107,0.10322387353517115,0.9652833333333334,0.9648
69.0,0.10657860183335365,0.09802482655504718,0.9666666666666667,0.9679
70.0,0.10775788897212515,0.10506673033814877,0.966,0.9654
71.0,0.10570105656664422,0.09627091569127515,0.9661333333333333,0.9698
72.0,0.1046834335523717,0.09655982599360868,0.96695,0.9683
73.0,0.10642367262155451,0.09856519417371601,0.9660333333333333,0.968
74.0,0.10623706826504241,0.09650887482566758,0.96535,0.9683
75.0,0.10396730772992398,0.10032554540666752,0.96735,0.9673
76.0,0.10482111665162634,0.09824571993667633,0.9667,0.9663
77.0,0.10324961980606648,0.0909246948955115,0.9672,0.9708
78.0,0.1030534806403708,0.10193036077544093,0.9679166666666666,0.9664
79.0,0.10046375124378407,0.09532693274086342,0.9683,0.9692
80.0,0.10292533650360208,0.09176292172633112,0.9676666666666667,0.9696
