epoch,train_loss,test_loss,train_acc,test_acc
0.0,1.9475421662233314,1.756058230996132,0.2774,0.3594
1.0,1.6796638716240317,1.6022873610258102,0.38232,0.4138
2.0,1.5584921228642366,1.5588662326335907,0.43042,0.4301
3.0,1.4932129492565078,1.5091194689273835,0.45866,0.4532
4.0,1.429999869696948,1.4007723152637481,0.48264,0.4867
5.0,1.3856626657807096,1.4809834003448485,0.50138,0.4717
6.0,1.3526749446684,1.3427166014909744,0.5138,0.5177
7.0,1.3082838989033991,1.3063935607671737,0.5329,0.532
8.0,1.2833447717890447,1.2611873745918274,0.54174,0.5505
9.0,1.2454390197384113,1.2584236025810243,0.5569,0.5589
10.0,1.2264075917857034,1.2607705503702165,0.56474,0.5494
11.0,1.1989102223697974,1.2081052988767624,0.5763,0.571
12.0,1.1757707711385221,1.164561453461647,0.58366,0.5908
13.0,1.1511995968770008,1.1448473989963532,0.59358,0.594
14.0,1.1376286520033467,1.122839343547821,0.59948,0.6012
15.0,1.1182599286643826,1.164366227388382,0.60584,0.5899
16.0,1.1042809212694362,1.1166803658008575,0.61006,0.6071
17.0,1.0917066414745487,1.103058470785618,0.6172,0.6117
18.0,1.083620124021355,1.0762648329138755,0.618,0.6217
19.0,1.0610826495958834,1.0774266362190246,0.62916,0.6188
20.0,1.0520054384761928,1.0706433981657029,0.62832,0.6242
21.0,1.0359847487843767,1.0683499455451966,0.63802,0.6166
22.0,1.0335964505769768,1.0826085746288299,0.63718,0.6182
23.0,1.0211230948263286,1.0274585589766503,0.64308,0.6438
24.0,1.0093957915598033,1.0434972122311592,0.64792,0.6376
25.0,1.0013849552796812,1.0234272614121438,0.65102,0.6415
26.0,0.988724942414128,0.9902540743350983,0.65262,0.6572
27.0,0.9724213778972626,1.0148766815662384,0.66068,0.6464
28.0,0.9710068623630368,1.0324512705206872,0.66,0.6373
29.0,0.961438776887193,0.990590862929821,0.66312,0.6588
30.0,0.9518830581587188,1.0216528281569481,0.66604,0.6447
31.0,0.948438642888653,0.9757174089550972,0.66782,0.6557
32.0,0.9358902780377135,0.9985137373209,0.67428,0.6546
33.0,0.9262208886900727,0.9959697961807251,0.67696,0.6501
34.0,0.9298395511447167,0.9835826843976975,0.67588,0.6525
35.0,0.915242957521458,0.957773195207119,0.67902,0.6714
36.0,0.9083201140165329,0.9523426696658135,0.68334,0.6641
37.0,0.9016436931430077,0.913680313527584,0.68414,0.6766
38.0,0.8936874702268717,0.9255985811352729,0.68806,0.6796
39.0,0.8909943842766236,0.9253890424966812,0.6882,0.6749
40.0,0.8864594621925938,0.9506778731942177,0.69046,0.6688
41.0,0.884402154355633,0.9237368613481521,0.69006,0.6804
42.0,0.875094577365992,0.8968295723199844,0.6956,0.6919
43.0,0.8730131296478972,0.8839872375130653,0.6948,0.6911
44.0,0.8675827383995056,0.8916283652186394,0.69854,0.6906
45.0,0.857477955976311,0.8900708869099617,0.70172,0.6943
46.0,0.8668234524678211,0.9059148997068405,0.69782,0.6836
47.0,0.8499193407443105,0.9187664583325386,0.70528,0.6809
48.0,0.8390512533333837,0.8970854371786118,0.70712,0.6845
49.0,0.8523799722291985,0.9175037801265716,0.70372,0.6831
50.0,0.8307856610234903,0.903188182413578,0.71228,0.6901
51.0,0.8397837852945134,0.8884926632046699,0.70532,0.6952
52.0,0.8326619483378469,0.9255362048745155,0.70844,0.6793
53.0,0.8362935881833641,0.862035670876503,0.70658,0.7045
54.0,0.8254783676595104,0.8721829250454902,0.7127,0.6996
55.0,0.81874630828293,0.8845674574375153,0.71628,0.6938
56.0,0.8159551313337015,0.8639668941497802,0.7165,0.6989
57.0,0.8183109313249588,0.8610774487257004,0.71544,0.7058
58.0,0.81762844841091,0.9194682121276856,0.71522,0.6852
59.0,0.8120112105899927,0.8744211122393608,0.7169,0.6969
60.0,0.8043340541878525,0.8698647722601891,0.72002,0.7023
61.0,0.8011839341144172,0.8572969481348991,0.72046,0.7048
62.0,0.7973940010581698,0.8534665882587433,0.72336,0.7067
63.0,0.7889478872625195,0.8298388943076134,0.72516,0.7157
64.0,0.7840983490554654,0.863477137684822,0.7271,0.7029
65.0,0.7871269018066173,0.8393545538187027,0.72398,0.71
66.0,0.7858256147224076,0.8400619953870774,0.72798,0.7085
67.0,0.782729010800926,0.8500287979841232,0.72654,0.7083
68.0,0.7779095358386332,0.8172023564577102,0.73018,0.7228
69.0,0.7746671638926681,0.8546563163399696,0.72978,0.7084
70.0,0.7734015523170938,0.8079503089189529,0.73208,0.7208
71.0,0.7760046717463708,0.8518772333860397,0.72906,0.7032
72.0,0.7658106255896238,0.8266821384429932,0.73418,0.7082
73.0,0.7693300016072332,0.8320180758833885,0.73162,0.7156
74.0,0.7634447597119273,0.8133102342486381,0.73446,0.7223
75.0,0.7467046553383068,0.8222780153155327,0.74028,0.7241
76.0,0.7511325116668429,0.8090182229876518,0.7379,0.7178
77.0,0.7474294517721448,0.8182741865515709,0.74066,0.7162
78.0,0.749922260946157,0.8680034965276718,0.74028,0.6982
79.0,0.7506606627483757,0.819300402700901,0.73806,0.7162
80.0,0.7431339326561713,0.8136773154139518,0.74238,0.7189
81.0,0.7415450808345055,0.8091348186135292,0.7423,0.7255
82.0,0.7387405679542192,0.833598381280899,0.7435,0.7126
83.0,0.7392221269558887,0.8008500903844833,0.74284,0.725
84.0,0.7361090761058184,0.7970244273543358,0.74472,0.7233
85.0,0.7393189139512121,0.7914855614304542,0.7449,0.7264
86.0,0.730217478105,0.7809899881482124,0.74568,0.7287
87.0,0.7320764247252016,0.7929095581173897,0.74588,0.7231
88.0,0.7236813547051683,0.7665802389383316,0.7488,0.7353
89.0,0.7275962771809831,0.7853994190692901,0.74842,0.7259
90.0,0.721708708879899,0.7823262646794319,0.74976,0.731
91.0,0.7216659991108642,0.7773998945951461,0.75006,0.7321
92.0,0.7214389561998601,0.8042773187160492,0.7515,0.7222
93.0,0.7204070328449717,0.7671500742435455,0.74898,0.7368
94.0,0.7152637212860341,0.774533911049366,0.7522,0.7318
95.0,0.7205407011265658,0.7723671033978462,0.75008,0.735
96.0,0.7173882342722951,0.7647168859839439,0.75374,0.7327
97.0,0.7111468278631872,0.7775864720344543,0.75292,0.7306
98.0,0.7114783181827895,0.7758206620812416,0.75446,0.7286
99.0,0.7099478558009985,0.7702836439013481,0.75296,0.7401
